丱,,004,,2,4,5,+22770+,/guan4,1クワン1(1カン1)1ケン1あげまき1をさない1(1おさない1),
电,電,,607,2,4,5,+50716+,/dian4*,1テン1デン1いなづま1(1いなずま1),
串(1),,004,,2,6,7,+50006+,/chuan4*,1セン1くし1つらぬく1,
串(2),,004,,2,6,7,+50006+,/guan4,1クワン1(1カン1)1なれる1,
临,臨,,441,2,8,9,+28063+,/lin2*,1リン1のぞむ1,
丶,,004,,3,0,1,+30000+,/zhu3,1チユ1(1チュ1)1てん1ぽち1,
丸(1),,004,,3,2,3,+50017+,/wan2*,1クワン1(1カン1)1グワン1ガン1たま1まる1まるい1まるめる1,
丸(2),,004,,3,2,3,+50017+,/huan2,1クワン1(1カン1)1グワン1ガン1たま1まる1まるい1まるめる1,
义,義,,421,3,2,3,+40003+,/yi4*,1ギ1よい1,
丹,,004,,3,3,4,+77440+,/dan1*,1タン1あか1に1まごころ1,
主,,005,,3,4,5,+00104+,/zhu3*,1シユ1(1シュ1)1ス1あるじ1おも1つかさどる1ぬし1,
为(1),爲,,320,3,4,5,+34027+,/wei2*,1ヰ1(1イ1)1なす1つくる1をさめる1(1おさめる1)1なる1まなぶ1たり1,
为(2),爲,,320,3,4,5,+34027+,/wei4*,1ヰ1(1イ1)1ため1ために1,
头,頭,,615,3,4,5,+34800+,/tou2*,1トウ1ヅ1(1ズ1)1あたま1かしら1かうべ1(1こうべ1)1かみ1ほとり1,
举,舉,,444,3,8,9,+90508+,/ju3*,1キヨ1(1キョ1)1コ1あげる1あがる1こぞる1,
丿,,005,,4,0,1,+20000+,/pie1,1ヘツ1ヘチ1の1はらい1はらいぼうめ1,
乀,,005,,4,0,1,+30000+,/fu4,1フツ1ホチ1,
乂,,005,,4,1,2,+40000+,/yi4,1カイ1ガイ1ケ1をさまる1(1おさまる1)1かる1,
乃(1),,005,,4,1,2,+17227+,/nai3*,1ナイ1ダイ1すなはち1(1すなわち1)1なんぢ1(1なんじ1)1の1,
乃(2),,005,,4,1,2,+17227+,/ai3,1アイ1エ1,
久,,005,,4,2,3,+27800+,/jiu3*,1キウ1(1キュウ1)1ク1ひさしい1,
之,,005,,4,3,4,+30307+,/zhi1*,1シ1これ1の1ゆく1,
乏,,006,,4,3,4,+20307+,/fa2*,1バフ1(1ボウ1)1ボフ1とぼしい1,
乍,,005,,4,4,5,+80211+,/zha4*,1サ1セ1たちまち1ながら1,
乎(1),,005,,4,4,5,+20409+,/hu2,1コ1ゴ1を1か1かな1や1,
乎(2),,005,,4,4,5,+20409+,/hu1*,1コ1ゴ1,
乖,,006,,4,7,8,+20111+,/guai1*,1クワイ1(1カイ1)1ケ1こざかしい1そむく1へただる1もとる1,
乗(1),乘,006,006,4,8,9,+20904+,/cheng2*,1シヨウ1(1ショウ1)1ジヨウ1(1ジョウ1)1のせる1のる1,
乗(2),乘,006,006,4,8,9,+20904+,/sheng4*,1シヨウ1(1ショウ1)1ジヨウ1,
乘(1),,006,,4,9,10,+20901+,/cheng2*,1シヨウ1(1ショウ1)1ジヨウ1(1ジョウ1)1のせる1のる1,
乘(2),,006,,4,9,10,+20901+,/sheng4*,1シヨウ1(1ショウ1)1ジヨウ1,
乙,,006,,5,0,1,+17710+,/yi3*,1イツ1イチ1オツ1おと1きのと1,
九(1),,006,,5,1,2,+40017+,/jiu3*,1キウ1(1キュウ1)1ク1ここの1ここのつ1,
九(2),,006,,5,1,2,+40017+,/jiu1,1キウ1(1キュウ1)1ク1あまた1,
乞(1),,006,,5,2,3,+80717+,/qi3*,1キツ1コチ1コツ1こふ1(1こう1),
乞(2),,006,,5,2,3,+80717+,/qi4,1キツ1コチ1コツ1こふ1(1こう1),
也,,006,,5,2,3,+44712+,/ye3*,1ヤ1エ1なり1また1や1か1,
乡(1),鄕,,567,5,2,3,+20202+,/xiang1*,1キヤウ1(1キョウ1)1ガウ1(1ゴウ1)1さと1ふるさと1,
乡(2),鄕,,567,5,2,3,+20202+,/xiang4,1キヤウ1(1キョウ1)1ガウ1(1ゴウ1)1むく1さきに1,
乣,,007,,5,3,4,+22710+,/diu1,1キユウ1(1キュウ1),
乩,,007,,5,5,6,+22610+,/ji1*,1ケイ1,
买,買,,532,5,5,6,+17804+,/mai3*,1バイ1メ1かふ1(1かう1),
乱,亂,007,007,5,6,7,+22610+,/luan4*/lan4,1ラン1みだす1みだり1みだれる1,
乳,,007,,5,7,8,+22410+,/ru3*/nai3,1ジユ1(1ジュ1)1ニユ1(1ニュ1)1ニユウ1(1ニュウ1)1ち1ちち1,
乾(1),,007,,5,10,11,+48417+,/qian2*,1ケン1ゲン1いぬゐ1(1いぬい1),
乾(2),,007,,5,10,11,+48417+,/gan1*,1カン1かわかす1かわく1ほす1,
亂,,007,,5,12,13,+22210+,/luan4*/lan4,1ラン1みだす1みだり1みだれる1,
亅,,008,,6,0,1,+20000+,/que2,1ケツ1クワチ1(1カチ1)1かぎ1はね1はねぼう1,
了,,008,,6,1,2,+17207+,/liao3*/le5*,1レウ1(1リョウ1)1をはる1(1おわる1)1さとる1しまふ1,
予(1),,008,,6,3,4,+17202+,/yu3*/yu2*,1ヨあたへる1(1あたえる1)1われ1,
予(2),豫,,528,6,3,4,+17202+,/yu4*,1ヨ1あらかじめ1かねて1あづかる1(1あずかる1)1あづける1(1あずける1)1ゆるす1,
乐(1),樂,,258,6,4,5,+72904+,/yue4*,1ガク1かなでる1,
乐(2),樂,,258,6,4,5,+72904+,/luo4/le4*,1ラク1たのしむ1たのしい1,
乐(3),樂,,258,6,4,5,+72904+,/yao4,1ガウ1(1ゴウ1)1ゲウ1(1ギョウ1)1このむ1,
争(1),爭,008,320,6,5,6,+27507+,/zheng1*,1サウ1(1ソウ1)1シヤウ1(1ショウ1)1あらそふ1(1あらそう1)1いかでか1いかん1,
争(2),爭,008,320,6,5,6,+27507+,/zheng4/zheng1*,1サウ1(1ソウ1)1シヤウ1(1ショウ1)1いさめる1,
事,,008,,6,7,8,+50007+,/shi4*,1シ1ジ1こと1つかへる1(1つかえる1),
二,,008,,7,0,2,+10100+,/er4*,1ジ1ニ1ふた1ふたつ1,
亍,,008,,7,1,3,+10201+,/chu4*,1チヨク1(1チョク1)1トク1,
于,,008,,7,1,3,+10400+,/yu2*,1ウ1ク1あめ1ここに1ゆく1,
云(1),,008,,7,2,4,+10731+,/yun2*,1ウン1いう1(1いふ1),
云(2),雲,,606,7,2,4,+10731+,/yun2*,1ウン1くも1そら1,
互,,008,,7,2,4,+10107+,/hu4*,1コ1ゴ1たがひ1(1たがい1),
五,,008,,7,2,4,+10107+,/wu3*,1ゴ1いつ1いつつ1,
井,,008,,7,2,4,+55000+,/jing3*,1セイ1シヤウ1(1ショウ1)1ゐ1(1い1)1ゐげた1(1いげた1)1まち1,
亘,,009,,7,4,6,+10106+,/xuan1,1セン1ゼン1,
亙,,009,,7,4,6,+10107+,/geng1,1コウ1ひろし1めぐる1わたる1,
些(1),,009,,7,5,7,+21101+22101+,/xie1*,1シヤ1(1シャ1)1いささか1すこし1,
些(2),,009,,7,5,7,+21101+22101+,/suo4,1サ1,
亜,亞,,009,7,5,7,+10106+,/ya3/ya4*,1ア1つぐ1,
00267,況,009,283,7,5,7,+16110+,/kuang4*,1キヤウ1(1キョウ1)1カウ1(1コウ1)たとへる1(1たとえる1)1いはんや1(1いわんや1)1ますます1,
亞,,009,,7,6,8,+10107+,/ya3/ya4*,1ア1つぐ1,
亟(1),,009,,7,6,8,+10104+,/ji2*,1キヨク1(1キョク1)1すみやか1はやい1あわただしい1,
亟(2),,009,,7,6,8,+10104+,/qi4*,1キ1しばしば1,
亝(1),齊,009,653,7,6,8,+23101+,/qi2*,1セイ1サイ1ととのふ1(1ととのう1)1ひとしい1ととのへる1(1ととのえる1)1ひとしく1そろふ1(1そろう1),
亝(2),齊,009,653,7,6,8,+23101+,/zi1,1シ1,
亝(3),齊,009,653,7,6,8,+23101+,/zhai1,1サイ1ものいみ1おごそか1,
亠,,009,,8,0,2,+00000+,/tou2,1トウ1ヅ1(1ズ1)1けいさんかんむり1けさん1なべぶた1,
亡(1),,009,,8,1,3,+00710+,/wang2,1バウ1(1ボウ1)1マウ1(1モウ1)1にげる1ほろびる1,
亡(2),,009,,8,1,3,+00710+,/wu2,1ブ1ム1ない1,
